original_phrase,cluster_id,cluster_name
Added sugar makes the drink taste gross.,106,Added Sugar Taste
Added sugar makes the drink taste gross.,106,Added Sugar Taste
Added sugar makes the drink taste gross.,106,Added Sugar Taste
This gum flavor caused an allergic throat reaction.,263,Allergic Reaction
Tastes like salty styrofoam with unpleasant texture.,263,Allergic Reaction
Salty bitter taste and flat appearance.,263,Allergic Reaction
Vile taste and flat appearance.,263,Allergic Reaction
Artificially sweetened hot cocoa mix is inferior.,73,Artificial Cocoa
Artificially sweetened hot cocoa mix in Kcup is inferior.,73,Artificial Cocoa
The hot cocoa is too watery and tasteless.,73,Artificial Cocoa
Product lacks real peppermint and tastes artificial.,53,Artificial Flavor
"Truffle oil is artificially flavored, not real truffles.",53,Artificial Flavor
"No real peppermint or cocoa, tastes artificial.",53,Artificial Flavor
"Truffle oil contains no real truffles, only artificial flavor.",53,Artificial Flavor
Product contains no real peppermint or cocoa.,53,Artificial Flavor
Truffle oil contains no actual truffles.,53,Artificial Flavor
Artificial ingredients and lack of real peppermint.,53,Artificial Flavor
Artificial lemon flavor like furniture polish.,260,Artificial Lemon
Artificial lemon taste like furniture polish.,260,Artificial Lemon
Artificial lemon taste reminiscent of furniture polish.,260,Artificial Lemon
Low acid coffee's flavor is awful.,14,Awful Low Acid
Low acid coffee's flavor is awful.,14,Awful Low Acid
Low acid coffee has a terrible flavor.,14,Awful Low Acid
The low acid coffee tasted awful.,14,Awful Low Acid
The artificial sweetener taste is awful.,150,Awful Sweetener Taste
Artificial sweetener taste is awful.,150,Awful Sweetener Taste
Artificial sweetener taste is overwhelmingly unpleasant.,150,Awful Sweetener Taste
Taste is too sweet with artificial sweetener.,150,Awful Sweetener Taste
Artificial sweetener taste is awful.,150,Awful Sweetener Taste
Garbanzo beans caused severe gas in baby.,88,Baby Gas From Beans
Garbanzo beans caused severe gas in a baby.,88,Baby Gas From Beans
Garbanzo beans caused severe gas in a baby.,88,Baby Gas From Beans
Bad aftertaste ruined the cocoa drink.,81,Bad Cocoa Aftertaste
Awful aftertaste and weak cocoa disappointed customer.,81,Bad Cocoa Aftertaste
The bad aftertaste ruined the cocoa drink.,81,Bad Cocoa Aftertaste
Bad aftertaste ruins the cocoa drink.,81,Bad Cocoa Aftertaste
The cocoa drink had a terrible aftertaste.,81,Bad Cocoa Aftertaste
Disliked the chocolate chip and oatmeal combination.,109,Bad Oat Combo
The oats have a funny taste.,109,Bad Oat Combo
"The oats have a funny, unpleasant taste.",109,Bad Oat Combo
Oatmeal was too mushy and soft.,109,Bad Oat Combo
"Mushy, soft texture made oatmeal disliked.",109,Bad Oat Combo
Product had bad taste or was old.,251,Bad Taste Defective
Product had a bad taste and was undrinkable.,251,Bad Taste Defective
"Product had bad taste, possibly defective.",251,Bad Taste Defective
Bitter aftertaste from the flour mix.,113,Bitter Flour Aftertaste
Blend is weak with bitter aftertaste.,113,Bitter Flour Aftertaste
The flour mix has a strong bitter aftertaste.,113,Bitter Flour Aftertaste
